Variable,Manometer Reading (mm)
P_atm,108
P_tot,132
P_static,110
LWR x/c = 1,120
LWR x/c = 4.5,98
LWR x/c = 11,92
LWR x/c = 20,94
LWR x/c = 32.1,100
LWR x/c = 44,104
UPPER x/c = 2,108
UPPER x/c = 7.5,94
UPPER x/c = 14.5,94
UPPER x/c = 26,98
UPPER x/c = 38,102
UPPER x/c = 50,106
