Wall distance (mm), Velocity (m/s)
0,0
0.20045,2.565
0.4009,4.86
0.60135,6.885
1.0022,10.125
1.4031,12.285
1.804,13.365
2.0045,13.5
3.0067,13.5
4.009,13.5
5.0012,13.5
6.0035,13.5
7.0057,13.5
8.008,13.5
10.002,13.5
12.007,13.5
